"""A Concept for Generating Business Process Models from Natural Language Description,Honkisz,Kluza,2018,1,1,1,0.5,0,0.5,1,5"
"""A Concept for Spreadsheet-Based Process Modeling,Krumnow,Decker,2010,1,1,1,1,0.5,0.5,0.5,5.5"
"A Goal-Oriented Requirements Engineering Method for Business Processes,Decreus,Poels,2010,1,1,1,0.5,1,0.5,1,6"
"""A Machine Translation Like Approach to Generate Business Process Model from Textual Description,Sonbol,Rebdawi,2023,1,1,1,1,0.5,0.5,1,6"
"A New Action Rule Syntax for DEmo MOdels Based Automatic worKflow procEss geneRation (DEMOBAKER),Figueira,Aveiro,2014,1,1,1,1,0.5,0.5,1,6"
"""A new method for organizational process model discovery through the analysis of workflows and data exchange networks,Aghabaghery,Golpayegani,2020,1,1,1,1,0.5,0.5,1,6"
"A Novel Fitness Improvement Method for Mined Business Process Models,Sun,Bauer,2016,1,0.5,1,0.5,0,0.5,1,4.5"
"A policy-based process mining framework: mining business policy texts for discovering process models,Li,Wang,2010,1,1,1,1,0.5,0.5,0.5,5.5"
"""A Service-Oriented Architecture for Generating Sound Process Descriptions,Silva,Avila,2019,1,1,1,1,1,1,0.5,6.5"
"""A Two-Step Fast Algorithm for the Automated Discovery of Declarative Workflows,Di Ciccio,Mecella,2013,1,1,1,1,0.5,1,1,6.5"
"AAISP: An Approach for Aligning Information Systems Perspectives,Betz,Hickl,2016,1,1,1,0.5,1,0.5,1,6"
"Activity Diagram Generation Based on Use-Case Textual Specification,Hnatkowska,Cebinka,2021,1,1,1,1,0.5,0.5,1,6"
"An Approach for Process Model Extraction By Multi-Grained Text Classication,Qian,Wen,2020,1,1,1,1,0.5,1,0.5,6"
"An Approach to Business Process Recovery from Source Code,Rabelo,Prado,2015,1,1,1,1,0.5,0.5,0.5,5.5"
"An Approach to Participatory Business Process Modeling: BPMN Model Generation Using Constraint Programming and Graph Composition,Wisniewski,Kluza,2018,1,1,1,1,1,0.5,1,6.5"
"""An Automated Approach to Transform Use Cases into Activity Diagrams,Yue,Briand,2010,1,1,1,1,0.5,0.5,1,6"
"An automatic business process modeling method based on Markov matrix,Li,Feng,2006,1,0.5,1,0.5,0,0.5,1,4.5"
"Analyzing of User Actions for the Business Process Models Mining and Automated Building of the Knowledge Base of a Company,Vinogradova,Larionov,2022,1,0.5,1,0.5,0,0.5,0.5,4"
"Applying process mining techniques and neural networks to creating and assessment of business process models,Grigorova,Mironov,2018,1,0.5,1,0.5,0,0.5,0.5,4"
"Automated transformation approach from user requirement to behavior design,Kamarudin,Sani,2015,1,0.5,1,1,0,0.5,0.5,4.5"
"Automatic Formal Model Derivation from Use Cases,Raji,Dhaussy,2010,1,0.5,1,0.5,0,0.5,0.5,4"
"Automatic Support for Product Based Workﬂow Design: Generation of Process Models from a Product Data Model,Vanderfeesten,Reijers,2010,1,1,1,1,0.5,0.5,1,6"
"Automating Business Process Model Generation from Ontology-based Requirements,Yanuarifiani,Chua,2019,1,0.5,1,0.5,0,0.5,0.5,4"
"Bidimensional Process Discovery for Mining BPMN Models,De Weerdt,vanden Broucke,2015,1,1,1,1,0.5,1,1,6.5"
"Business Process Modelling Augmented: Model Driven transformation of User Stories to Processes,Baïna,El Hamlaoui,2020,1,0.5,1,0.5,0,0.5,0.5,4"
"Constructing workflow models of alarm responses via trace labeling and dependency analysis,Hu,Chen,2019,1,1,1,1,0.5,1,0.5,6"
""A framework for transformation from conceptual to logical work ﬂow models,Fan,Zhao,2012,1,1,1,1,0.5,1,1,6.5""
""A Framework towards Generating Effective Business Process Model by Goal based Pruning,Deb,Chaki,2016,1,0.5,1,0.5,0,0.5,0.5,4""
"A-BPS: Automatic Business Process Discovery Service using Ordered Neurons LSTM,Han,,,2020,1,1,1,1,0.5,1,0.5,6"
"An Integrated Approach for Discovering Process Models According to Business Process Types,Lamghari,,,2021,0.5,0.5,1,0.5,0,0,0,2.5"
""An Iterative Approach for Business Process Template Synthesis from Compliance Rules,Awad,Gore,2011,1,1,1,1,1,1,1,7""
""Automatic Process Model Discovery from Textual Methodologies,Epure,Martín-Rodilla,2015,1,1,1,1,1,0.5,1,6.5""
""Business process archeology using MARBLE,Pérez-Castillo,García-Rodríguez de Guzmán,2011,1,1,1,1,1,1,0.5,6.5""
"""Controlled automated discovery of collections of business process models,García-Bañuelos,Dumas,2014,1,1,1,1,1,1,1,7"
"""Deriving Requirements Model from Textual Use Cases,Sawant,Roy,2014,1,1,1,1,0.5,1,0.5,6"
"Design of an Automatic Workflow Modeling Method in Cooperative WFMS,Li,Feng,2006,1,0.5,1,0.5,0,0.5,1,4.5"
"""Discovering Business Process Model from Unstructured Activity Logs,Kumar,Bhattacharyya,2010,1,1,1,1,0.5,1,1,6.5"
"""Discovering Business Processes from Organizational Email: Text Classification and Process Mining,Rashnavadi,Behzadifard,2021,1,1,1,1,0.5,0,0.5,5"
"Discovering Business Processes in CRM Systems by leveraging unstructured text data,Banziger,Basukoski,2018,1,1,1,1,0.5,0.5,1,6"
"Discovering Interpretable Medical Workflow Models,Li,Yang,2018,1,0.5,1,1,1,0.5,1,6"
"""Discovering models of behavior for concurrent workﬂows,Cook,Du,2004,1,1,1,1,1,1,1,7"
